Est Time,Name,Deadline,Prompt,Rules,Website,Amount + # Awarded,Extra,Status
,CreditWorthy,4/30,Submit a short essay about what you learned and how the Credit Worthy program by OneMain Financial has made an impact on you.,,Link,1000,,Rejected
,Teen Navigate,5/20,"Describe a personal experience that shaped how you think about money, opportunity, or financial responsibility. This could involve your family, work, school, or something you observed in your community. Explain what you learned from that experience and how it influences your goals for the future. ",,,1000-3000,,Applied
,Broad Horizons,5/30,What is something you’ve done in the past year to broaden your horizons?,,https://app.scholarships360.org/dashboard/scholarships/broad-horizons-scholarship-for-high-school-juniors,1000,,Rejected
,Golden Future,5/31,"Tell us about your educational and career goals and objectives.*(200) + We believe people can achieve more together than they ever can alone, that is why we created the New York Life Golden Futures Scholarship. Please tell us what you have learned while working through the NYL modules. How will this help you achieve your further educational and financial goals? What processes or best practices will you use to be more financially prepared to move into the world on your own? Who will you need by your side to achieve these goals?(250)",,https://sai-nylfllc.saiapply.org/program/sai-nyl-golden-futures/applicant/application/intake/1CXYh5d6F6jSMStKLjoe8a?cycleId=1CXYh5bz6Cxc7sSeA2nYsT&profileId=1CaSu3QcEwCtpNW2dLXdJf&applicantId=1CaSuPpoR3og8EnNep1q5u,10000-20000,,Rejected
,Abbott & Fenner,6/10,"Describe your educational career and life goals. Explain your plan for achieving these goals. Include your degree/major, why you selected it, and how this degree/major will help you achieve your goals.(500-1000)",,https://abbottandfenner.com/scholarships.php,1000,,Rejected
,Regions Riding Forward,6/30,Your Written Essay or Video Essay must address how the individual you have selected as your Essay Topic has inspired you in an extraordinary way.(~450),https://www.regions.com/-/media/pdfs/about-regions/Official-Rules-2026-Regions-Riding-Forward-Scholarship-Contest.PDF,https://www.regions.com/about-regions/inclusion-belonging-impact/supporting-communities/essay-contest-scholarship,8000,Application form:https://aim.applyists.net/,Applied
,Pizza Hut,8/31,,,,500-10k tuition assistance,,
,Andrew S Mather,8/31,Provide a 500-word minimum essay on the value of hard work and what it has taught you,,https://andrewmatherslaw.com/andrew-s-mathers-scholarship/,,,
,Netfloor USA ,8/31,,,https://www.netfloorusa.com/scholarship/netfloor-usa-access-flooring-college-scholarship,,,
,Daniel G Calugar,9/1,"Aspirations Essay AND From 1950 to 2007, the annual average ratio of federal debt to GDP was 45%, and that ratio was 45% in 2007 as well. In September 2025, the US federal debt was 125% of GDP. Is the current level of US federal debt to GDP, and the trend for that ratio to increase from 2007 forward, a problem that needs to be addressed? If so, how would you recommend that it be addressed? If the current ratio and the trend over the past 15 years is not a problem, what level would you consider problematic and why? ",,https://dancalugarfoundation.org/#ToSch,,,
,Gates Scholarship,9/15,,,,,,
,Headyway Book Lovers,9/15,"Leadership Paragraph, Goals Paragraph, and Essay about nonfiction book",,https://makeheadway.com/scholarship/,,,
,Dolan Scholarship,9/30,,,https://dolanfamilylaw.com/2026-mediation-conversations-scholarship/,,,
,Chick Fil A,October,,,,25k,,
,America United Student Contest,10/5/2026,,,,,,
,AES Engineering,10/8,,,,500,,
,Burger King,Opens Oct 15,,,,1k,,
,Money Matters,10/16,"

Submit an essay (1,000 words or less) or video (1-2 minutes inStudents with tablet length) showcasing your understanding of paycheck knowledge and the importance of mastering paycheck basics. The topic for the contest is: Why does understanding your paycheck matter, and how can it help set you up for a stronger financial future? Feel free to share personal examples.",https://info.payroll.org/pdfs/npw/Money-Matters-Scholarship-terms-conditions.pdf,https://www.nationalpayrollweek.com/money-matters-scholarship-entry/,1000-5000,,
,Beauty Master,10/20,,,,1k,,
,Omega Psi Phi,10/31,,,,1k-5k,,
,Voice of Democracy,10/31,,https://vfw-org-hqagarhxahbybyd9.z01.azurefd.net/-/media/VFWSite/Files/Community/Youth-and-Education/Voice-of-Democracy-Entry-Form-Fillable.pdf?la=en&v=1&d=20260410T233747Z,,100,,
,ELKS MVS,November,,,https://www.elks.org/scholars/scholarships/mvs.cfm,1k,,
,AABE,Opens November,,,,,,
,America United Student Contest,11/3,,,,,,
,Jack Kent Cooke,11/11,,,,a lot,,
,Point Scholarship,11/20,,,,,,
,Hagan Scholarship,11/30,,,,,,
,Ohm Advisors,11/30,,,https://www.ohm-advisors.com/about/ohm-advisors-scholarship,4k,,
,Ron Brown,11/30,,,,a lott,,
,Greenhouse,11/30,,,,5k,,
,Live Deliberately,December,,,,,,
,Comics are Lit,December 20-May,,,,,,
,ACF Visionary,12/1,500-word essay on “Why College is Important to Me”,,https://americancollegefoundation.org/college-planning-visionary-scholarship-details/,1000,,Found
,Equitable Excellence,Mid December,,,,5k,,
,Live Mas,December 31,,,,5k,,
,GE Reagan,January,,,,,,
,WW2 student writing contest,1/22/2027,,,,idk man,,
,Georgia Mining ,January 28,,,,500,,
,Flavorful Future,January 28,,,,5k,,
,Georgia Safe Schools,1/29,,,,1k,,
,ASHRAE ,03/30,,,https://info.ashrae.org/ScholarshipApplication/,3k,3 LORs T-T,
,All Good Deeds,5/31,"Please write an essay of 150 words or fewer describing a good deed that you have done. The deed may be at the personal, local, community, or any level. It may be a one-time good deed or an ongoing one. You may choose to describe why the deed was important to you or the impact that it had. ",,https://www.parent-volunteer.org/a-a-altruism-all-good-deeds-scholarship,1000,,Found
,We The Future,5/31,,,https://constitutingamerica.org/contest-categories-new/#toggle-id-3,1000,,Found
,Engineering Excellence,7/13,,,https://www.rossoservice.com/scholarship,,,
,Vic and Oby,7/15,,,Link,,,
,Who Inspires You Scholarship,,,,https://www.smslegal.com/who-inspires-you-scholarship/,,,
